O.S;Status;Classe;Frota;Unidade;Centro;Modelo;Entrada;Descrição da O.S;Cód 1;Cód 2;Cód 3;Priorização;Operação;Cód 4;Material/Laudo/Serviço;Semana;DF;Frente;Observação;Ver e Agir ;Engenharia;Aprovisionamento;Execução;Gestão
152571271;Aprovisionamento;Preventiva Condicional;102770;BARRA;3316;John Deere 8270R 4X4;07/04/2025;A_OT_P_ELE_1,00_1 - Inspeção realizada no sistema eletrico - Trocar cabo da bateria negativo 8153320_01 e o cabo positivo 8167724_01 , quebrou o conector\n;A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165492136;Aprovisionamento;Preventiva Condicional;102779;BARRA;3344;John Deere 8270R 4X4;22/05/2025;"M_VZ_P_MEC_4,00_2 - Inspeção realizada no sistema hidraulico - trocar kit reparo do comando das VCR traseira, esta com vazamento 8079231_2; 8094863_5; 8078683_1; 8116269_6; 8138678_12; 8183498_2; 8129721_1; 8148489_2; 8146731_2; 8117938_2; 8102121_1; 8183243_1\n";M_VZ_P;M;M_VZ;2;VZ;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165492321;Aprovisionamento;Preventiva Condicional;102779;BARRA;3344;John Deere 8270R 4X4;22/05/2025;A_OT_P_MEC_1,00_1 - Inspeção realizada na estrutura - instalar proteção inferior dos radiadores,  pondendo pegar toco e danificar o radiador 8149625_01 8149612_04(P5)\n;A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165492391;Liberado para Programação;Preventiva Condicional;102781;BARRA;3316;John Deere 8270R 4X4;22/05/2025;M_VZ_S_MEC_16,00_2 - Inspeção realizada no sistema hidraulico - Vazamento entre a valvula orbitrol e valvula do freio e mangueiras de saida da valvula, lavar o compartimento para tentar identificar a origem pois esta com o compartimento sujo e não foi possivel identificar a origem NECESSARIO RECOLHER O TRATOR DEVIDO A COMPLEXIDADE DO TRABALHO \n;M_VZ_S;M;M_VZ;2;VZ;S;SERVIÇO;33;-;Produção;Preventiva;Não listado;Avaliar: Inspeção / Execução;;;
165492397;Aprovisionamento;Preventiva Condicional;102781;BARRA;3316;John Deere 8270R 4X4;22/05/2025;"A_TR_P_MEC_4,00_2 - Inspeção realizada no eixo dianteiro, trocar rolamento inferior e superior do munhão LD, está com folga NECESSARIO CALÇAR O EQUIPAMENTO E REMOVER O PNEU DIANTEIRO, RECOLHER O TRATOR OU UTILIZAR O CAMINHÃO MUNNK 8135197_1; 8123174_1; 8108799_1; 8141231_1; 8058723_1; 8118986_1; 8141270_1; 8158816_1; 8141292_1; 8158818_1; 8153614_1; 8153590_1; 8158817_1; 8153635_1\n";A_TR_P;A;A_TR;1;TR;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Avaliar: Inspeção / Execução;;;
165492404;Aprovisionamento;Preventiva Condicional;102781;BARRA;3316;John Deere 8270R 4X4;22/05/2025;A_TR_P_MEC_2,00_1 - Inspeção realizada no sistema direção - Trocar terminal da barra de direção L/D e L/E, esta com folga 8150480_02 8150490_04 8177726_02\n;A_TR_P;A;A_TR;1;TR;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165492406;Aprovisionamento;Preventiva Condicional;102781;BARRA;3316;John Deere 8270R 4X4;22/05/2025;M_MT_P_MEC_1,00_1 - Inspeção realizada no motor - trocar mangueira do fornecimento de liquido de arrefecimento do motor ao ar quente, esta adaptado com outro tipo de mangueira ela sai na traseira do motor proximo do bloco  R544348 8157725_01 ( REALIZAR O SERVIÇO COM O MOTOR FRIO )\n;M_MT_P;M;M_MT;2;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165492424;Aprovisionamento;Preventiva Condicional;102770;BARRA;3316;John Deere 8270R 4X4;22/05/2025;"B_VZ_P_MEC_4,00_1 - Inspeção realizada no sistema hidráulico, trocar mangueira de óleo do trocador de calor do óleo da transmissão, entra no L/E  trocador .trocador de calor posicionado na parte frontal junto aos radiador, está vazando na prensa.8159247_1;  8002983_02 TAREFA DE COMPLEXIDADE ALTA ALINHAR COM GESTAO DE CAMPO PARA EXECUTAR NA OPORTUNIDADE\n";B_VZ_P;B;B_VZ;3;VZ;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165492470;Aprovisionamento;Preventiva Condicional;102781;BARRA;3316;John Deere 8270R 4X4;22/05/2025;M_MT_P_MEC_1,00_1 - Inspeção realizada no motor diesel - instalar mangueira do respiro do motor,esta sem a mangueira 6007854_01\n;M_MT_P;M;M_MT;2;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165492495;Aprovisionamento;Preventiva Condicional;102781;BARRA;3316;John Deere 8270R 4X4;22/05/2025;A_VZ_P_MEC_0,30_1 - Inspeção realizada no sistema hidraulico - Trocar tampa de vedação da VCR 2 e 4, esta quebrada e acumulando terra nos engate rapido 8138683_01  8174994_01\n;A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165494086;Aprovisionamento;Preventiva Condicional;102756;BARRA;3316;John Deere 8345R 4X4;26/05/2025;A_MT_P_MEC_1,00_1 - Inspeção realizada no motor diesel - Trocar helice do ventilador e defletor traseiro da helice, a atual esta quebrada de desbalanceada 8184831_01  8157468_01 8157514_01  8165422_02  8157515_03  8103248_03\n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165509019;Liberado para Programação;Preventiva Condicional;102779;BARRA;3344;John Deere 8270R 4X4;24/06/2025;A_OT_P_MEC_1,00_1- Inspeção realizada no comando hidráulico. Trocar reparos do comando VCR. 8183498_1.  ( ENTREGAR PARA GESTOR EXECUTAR NA CORRETIVA )  Material disponível na sala de Aprovisionamento \n;A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165509092;Aprovisionamento;Preventiva Condicional;169010;DIA;3344;M.B Axor 3131 8x4 Vinhaça;24/06/2025;A_OT_P_MEC_0,10_1- Inspeção realizada no sistema elétrico. Trocar a tampa da bateria está sem. 8043204_1.\n;A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165509099;Aprovisionamento;Preventiva Condicional;169010;DIA;3344;M.B Axor 3131 8x4 Vinhaça;24/06/2025;A_OT_P_MEC_0,50_1- Inspeção realizado no sistema hidraulico. Trocar visor do reservatório hidráulico.8047856_1.\n;A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165509104;Aprovisionamento;Preventiva Condicional;169010;DIA;3344;M.B Axor 3131 8x4 Vinhaça;24/06/2025;A_SS_P_MEC_1,50_1- Inspeção realizada no sistema da cabine. Trocar o cabo interno da maçaneta L/E.8090873_1.\n;A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165509142;Aprovisionamento;Preventiva Condicional;102772;DIA;3316;John Deere 8270R 4X4;24/06/2025;"A_OT_P_MEC_4,00_1 - Inspeção realizada no sistema hidráulico. Trocar tubos de arrefecimento de óleo hidráulico do radiador. 8155781_1; 8159247_1; 8002983_2; 8145157_2.  TAREFA DE COMPLEXIDADE ALTA ALINHAR COM GESTAO DE CAMPO PARA EXECUTAR NA OPORTUNIDADE\n";A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Avaliar: Inspeção / Execução;;;
165509182;Aprovisionamento;Preventiva Condicional;102772;DIA;3316;John Deere 8270R 4X4;24/06/2025;"A_OT_P_MEC_1,00_1- Inspeção realizado no sistema da direção. Trocar reparo do cilindro da direção.L/E. 8142085_1; 8135307_1.\n";A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165509828;Aprovisionamento;Preventiva Condicional;102775;DIA;3316;John Deere 8270R 4X4;26/06/2025;M_OT_P_MEC_1,00_1- Inspeção realizada no sistema hidráulico. Trocar as cunhas da barra hidráulica. 8139653_2\n;M_OT_P;M;M_OT;2;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165509835;Aprovisionamento;Preventiva Condicional;102775;DIA;3316;John Deere 8270R 4X4;26/06/2025;"M_OT_P_MEC_0,50_1 Inspeção reralizado no sistema elétrico. Trocar a tampa da bateria.8138042_1; 8139201_1; 8139202_2; 8148390_2\n";M_OT_P;M;M_OT;2;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165510349;Aprovisionamento;Preventiva Condicional;49630;BARRA;3340;Case Puma 230 4x4;26/06/2025;"A_OT_P_MEC_1,00_1- Inspeção realizado no sistema elétrico. Trocar faróis dianteiro L/E e L/D. 8136258_1; 8155580_1; 8140412_1.\n";A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165510802;Aprovisionamento;Preventiva Condicional;7011584;BARRA;3340;John Deere 7225 J 4x4;27/06/2025;A_OT_P_MEC_1,00_1 Inspeção realizado no sistema da direção. Trocar terminal da direção L/E. 8112601_1.\n;A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165510804;Aprovisionamento;Preventiva Condicional;7011584;BARRA;3340;John Deere 7225 J 4x4;27/06/2025;A_OT_P_MEC_1,50_1- Inspeção realizada no sistema da direção. Trocar reparos do cilindro da direção. 8131923_1.\n;A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165516258;Liberado para Programação;Preventiva Condicional;102770;BARRA;3316;John Deere 8270R 4X4;08/07/2025;A_TR_P_MEC_0,10_1 - Inspeção realizada no eixo dianteiro - trocar anel oring do bujão central do cubo dianteiro L/D, anel cortado e vazando oleo 8145162_01\n;A_TR_P;A;A_TR;1;TR;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165517067;Aprovisionamento;Preventiva Condicional;169010;DIA;3344;M.B Axor 3131 8x4 Vinhaça;10/07/2025;A_MT_P_1,00_1 - Inspeção realizad no motor diesel - trocar correia do alternador do motor, esta estriada 8175997_01\n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165518858;Liberado para Programação;Preventiva Condicional;169010;DIA;3344;M.B Axor 3131 8x4 Vinhaça;11/07/2025;M_TR_S_MEC_16,00_2 - Inspeção realizada na transmissao - Recolher caminhão para desmontagem e peritagem do cambio, A marcha as vezes  raspando e pulado mais de duas marcha  de uma vez e a embalagem ficando dura ;M_TR_S;M;M_TR;2;TR;S;SERVIÇO;33;-;Produção;Preventiva;Não listado;Avaliar: Inspeção / Execução;;;
165518875;Aprovisionamento;Preventiva Condicional;169010;DIA;3344;M.B Axor 3131 8x4 Vinhaça;11/07/2025;A_MT_P_MEC_1,00_1 - Inspeçãor realizada no tanque arla - Trocar boia do tanque arla,Marcador do arla  não esta marcando  corretamente no marcador  sempre  apresentando cheio 8143175_01 \n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165518893;Aprovisionamento;Preventiva Condicional;169010;DIA;3344;M.B Axor 3131 8x4 Vinhaça;11/07/2025;A_SS_P_MEC_1,00_1 - Inspeção realizada no sistema de direção - Trocar cilindro de direção do 1º eixo dianteiro, o atual esta danificado 8153945_01 NÃO TEM REMAN\n;A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165518917;Aprovisionamento;Preventiva Condicional;102779;BARRA;3344;John Deere 8270R 4X4;11/07/2025;A_SS_P_MEC_0,30_1 - Inspeção realizada na cabine - instalar borracha de fixação da tampa do filtro de ar condicionado do teto, esta caindo a tampa na cabeça do operador 8141588_04\n;A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165519027;Liberado para Programação;Preventiva Condicional;102779;BARRA;3344;John Deere 8270R 4X4;11/07/2025;A_MT_S_ELE_2,00_1 - Inspeção realizada no sistema eletrico - Código de erro ativo ATC 523848.07 Falha Mecânica no Motor do Modo de Fluxo de Ar e Código de EGR ativo ENVIA ELETRICISTA PARA REALIZAR TESTES\n;A_MT_S;A;A_MT;1;MT;S;SERVIÇO;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165519030;Aprovisionamento;Preventiva Condicional;102779;BARRA;3344;John Deere 8270R 4X4;11/07/2025;"A_VZ_P_MEC_32,00_2 - Inspeção realizada no eixo dianteiro - Trocar vedação e luvas do eixo de entrada, eixo de entrada da tração do diferencial dianteiro esta com vazamento devido falta de lubrificação 8144970_1; 8144881_1; 8144954_1; 8144882_2; 8144940_1; 8149579_1; 8149616_1; 8149617_1; 8149822_1; 8122265_1; 8132640_1; 8107553_1; 8150037_2; 8152595_1; 8150036_1 eixo NECESSARIO RECOLHER O TRATOR POIS DEVE SER RETIRADO O DIFERENCIAL\n";A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Avaliar: Inspeção / Execução;;;
165519050;Aprovisionamento;Preventiva Condicional;49630;BARRA;3340;Case Puma 230 4x4;11/07/2025;M_MT_P_MEC_1,00_1 - Inspeção realizada no sistema do motor. Trocar o tensor da correia do compressor de ar, esta abrindo na lateral .8138304_1 \n\n;M_MT_P;M;M_MT;2;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165519052;Aprovisionamento;Preventiva Condicional;49630;BARRA;3340;Case Puma 230 4x4;11/07/2025;A_TR_P_MEC_0,10_1 - Inspeção realizada no eixo dianteiro, instalar respiro no cubo LE, esta quebrado .8138133_1\n;A_TR_P;A;A_TR;1;TR;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165519334;Aprovisionamento;Preventiva Condicional;7011584;BARRA;3340;John Deere 7225 J 4x4;14/07/2025;A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03\n;A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165520401;Liberado para Programação;Preventiva Condicional;71896;DIA;3316;John Deere 8270R 4X4;15/07/2025;A_MT_P_MEC_2,00_2 - Inspeção realizada no motor diesel, trocar damper traseiro do motor, está com trincas na borracha 8118750_1 Material disponível na sala de Aprovisionamento \n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165520405;Aprovisionamento;Preventiva Condicional;71896;DIA;3316;John Deere 8270R 4X4;15/07/2025;"A_TR_P_MEC_4,00_2- Inspeção realizada no sistema hidráulico. Trocar tubo de arrefecimento de óleo hidráulico do radiador L/E, esta com vazamento na prensa, o tubo entra no lado esquerdo do radiador   8159247_1; 8002983_1; 8145157_1.  ATENCAO A COMPLEXIDADE DO TRABALHO SE NECESSARIO ALINHAR COM A GESTAO DE CAMPO EXECUTAR NA OPORTUNIDADE\n";A_TR_P;A;A_TR;1;TR;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165520415;Aprovisionamento;Preventiva Condicional;71896;DIA;3316;John Deere 8270R 4X4;15/07/2025;A_MT_P_MEC_2,00_2 - Inspeção realizada no motor diesel - Trocar bomba dagua, esta com vazamento e baixa efetividade na circulação de agua no sistema  8049595_01  8084972_01  8072670_01\n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165520416;Liberado para Programação;Preventiva Condicional;102772;DIA;3316;John Deere 8270R 4X4;15/07/2025;A_MT_P_MEC_2,00_2 - Inspeção realizada no motor diesel - Trocar bomba dagua, esta com vazamento e baixa efetividade na circulação de agua no sistema  8049595_01  8084972_01  8072670_01  Material disponível na sala de Aprovisionamento \n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165520418;Aprovisionamento;Preventiva Condicional;102772;DIA;3316;John Deere 8270R 4X4;15/07/2025;A_MT_P_ELE_2,00_1 - Inspeção realizada no sistema de ar condicionado - Trocar condensador do ar condicionado, esta furado 3014957_01 ou código do novo 8146398_01 NECESSARIO REPOR O GAS APOS A MANUTENÇÃO\n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165520424;Aprovisionamento;Preventiva Condicional;102775;DIA;3316;John Deere 8270R 4X4;15/07/2025;A_OT_P_MEC_2,00_2 - Inspeção realizada na estrutura - Trocar suporte do terceiro ponto e pino, esta danificado devido ao uso de parafuso no lugar de pino e ocorreu o desgaste e ovalização do furo 8144034_01 8186511_01 8151470_01\n;A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165520429;Aprovisionamento;Preventiva Condicional;72201;DIA;3316;John Deere 8270R 4X4;15/07/2025;A_OT_P_MEC_0,30_1 - Inspeção realizada no sistema hidraulico - trocar pino de fixação do terceiro ponto, esta com o parafuso adaptado 8186511_01  8151470_01\n;A_OT_P;A;A_OT;1;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165520441;Aprovisionamento;Preventiva Condicional;102775;DIA;3316;John Deere 8270R 4X4;15/07/2025;A_TR_P_MEC_3,00_1 - Inspeção realizada no sistema hidraulico - Trocar mangueira de saida inferior da valvula do freio 8140964_01, esta vazando na prensa mangueira sai na parte debaixo da valvula do pedal do freio, valvula abaixo da cabine na frente NECESSARIO REMOVER O ASSOALHO DO TRATOR PARA RETIRAR A MANGUEIRA E O ASSENTO\n;A_TR_P;A;A_TR;1;TR;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165521376;Liberado para Programação;Preventiva Condicional;102756;BARRA;3316;John Deere 8345R 4X4;17/07/2025;A_VZ_P_MEC_2,00_2 - Inspeção realizada no eixo dianteiro - Trocar anel grande do cubo dianteiro e retentor  L/D , esta vazando  8109149_01 8118986_01  NECESSARIO CAMINHAO MUNCK   Material disponível na sala de Aprovisionamento   ENTREGAR PARA GESTOR FABIANO EXECUTAR \n;A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Avaliar: Inspeção / Execução;;;
165521378;Aprovisionamento;Preventiva Condicional;102756;BARRA;3316;John Deere 8345R 4X4;17/07/2025;A_TR_P_MEC_1,00_1 - Inspeção realizada na transmissão - trocar retentor de eixo de saida da TDP traseira, esta com pequeno vazamento 8120857_01 8120853_01\n;A_TR_P;A;A_TR;1;TR;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165521380;Aprovisionamento;Preventiva Condicional;102756;BARRA;3316;John Deere 8345R 4X4;17/07/2025;A_MT_P_MEC_1,00_1 - Inspeção realizada no motor diesel, trocar braçadeira da mangueira de admissão, entrada do coletor de admissão (CASTELO), está com braçadeira irregular 8150837_1 8149800_01 na frente do motor lado esquerdo proximo a EGR\n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165521385;Liberado para Programação;Preventiva Condicional;102756;BARRA;3316;John Deere 8345R 4X4;17/07/2025;B_TR_S_MEC_32,00_2 - Inspeção realizada na transmissao - Ao recolher o trator iremos avaliar ao vazamento emcima da transmissao L/E, a bitola esta fechada e local de dificil acesso NECESSARIO RECOLHER O TRATOR IREI ACOMPAR A EVOLUCAO \n;B_TR_S;B;B_TR;3;TR;S;SERVIÇO;33;-;Produção;Preventiva;Não listado;Avaliar: Inspeção / Execução;;;
165521391;Aprovisionamento;Preventiva Condicional;102242;BARRA;3316;John Deere 8270R 4X4;17/07/2025;M_MT_P_MEC_1,00_1 - Inspeção realizada no motor diesel - trocar mangueira do fornecimento de liquido de arrefecimento do motor ao ar quente, esta adaptado com outro tipo de mangueira ela sai na traseira do motor proximo do bloco  R544348 8157725_01 ( REALIZAR O SERVIÇO COM O MOTOR FRIO )  \n;M_MT_P;M;M_MT;2;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165521398;Aprovisionamento;Preventiva Condicional;102770;BARRA;3316;John Deere 8270R 4X4;17/07/2025;A_MT_P_MEC_2,00_1 - Inspeção realizada no motor diesel - trocar correia do compressor de ar, esta com ranhuras 8137310_01\n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165521412;Aprovisionamento;Preventiva Condicional;71896;DIA;3316;John Deere 8270R 4X4;17/07/2025;A_TR_P_MEC_0,20_1 - Inspeção realizada na TDP - Instalar proteção no eixo da tdp traseira, esta sem 8151056_01\n;A_TR_P;A;A_TR;1;TR;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165521413;Aprovisionamento;Preventiva Condicional;71896;DIA;3316;John Deere 8270R 4X4;17/07/2025;A_MT_P_MEC_2,00_1 - Inspeção realizada no motor diesel - trocar correia do compressor de ar, esta com ranhuras 8137310_01\n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165521414;Aprovisionamento;Preventiva Condicional;71896;DIA;3316;John Deere 8270R 4X4;17/07/2025;"M_OT_P_MEC_1,00_2 - Inspeção realizada no eixo dianteiro, trocar terminal da barra de direção L/D , está com folga 8175002_1; 8150490_2; 8177726_1\n";M_OT_P;M;M_OT;2;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165521415;Aprovisionamento;Preventiva Condicional;72201;DIA;3316;John Deere 8270R 4X4;17/07/2025;A_VZ_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro, trocar cilindro de direção L/D está vazando pelo reparo. 3011351_1\n;A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165521419;Aprovisionamento;Preventiva Condicional;102772;DIA;3316;John Deere 8270R 4X4;17/07/2025;A_MT_P_MEC_2,00_1 - Inspeção realizada no motor diesel - trocar correia do compressor de ar, esta com ranhuras 8137310_01\n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165521421;Aprovisionamento;Preventiva Condicional;102772;DIA;3316;John Deere 8270R 4X4;17/07/2025;M_MT_P_MEC_2,00_1 - Inspeção realizada no motor diesel - trocar o colete, defletor e helice do motor, esta quebrada 8157468_01 8157514_01 8144667_01  8184831_01  8103248_03\n;M_MT_P;M;M_MT;2;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165522663;Aprovisionamento;Preventiva Condicional;100830;BARRA;3336;Case Puma 140 4x4;18/07/2025;M_TR_P_MEC_2,00_2 - Inspeção realizada no sistema da tomada de força, trocar retentor da tomada de força, esta vazando.  8118397_01  \n;M_TR_P;M;M_TR;2;TR;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165522685;Aprovisionamento;Preventiva Condicional;100830;BARRA;3336;Case Puma 140 4x4;18/07/2025;B_OT_P_MEC_0,30_1 - Inspeção realizada no sistema eletrico - Trocar Lente da lanterna traseira L/D e L/E esta quebrada 8141807_01 8141741_01\n;B_OT_P;B;B_OT;3;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165524176;Liberado para Programação;Preventiva Condicional;100746;BARRA;3327;Valtra BH 210I 4x4;22/07/2025;A_MT_S_MEC_0,30_1 - Inspeção realizada no motor diesel - Reapertar abraçadeira da mangueira de saida do purificador de ar, esta com abraçadeira solta da mangueira da saida do filtro de ar externo e entra na turbina L/D do trator FOI ENVIADO PARA OFICINA\n;A_MT_S;A;A_MT;1;MT;S;SERVIÇO;33;-;Produção;Preventiva;Não listado;Avaliar: Inspeção / Execução;;;
165524178;Aprovisionamento;Preventiva Condicional;100746;BARRA;3327;Valtra BH 210I 4x4;22/07/2025;A_FR_P_MEC_2,00_1 - Inspeção realizada no freio  - trocar cilindro mestre do freio, o atual esta com vazamento de fluido   9801505_01 8013515_02\n;A_FR_P;A;A_FR;1;FR;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165524181;Aprovisionamento;Preventiva Condicional;100746;BARRA;3327;Valtra BH 210I 4x4;22/07/2025;A_MT_P_MEC_1,00_1 - Inspeção realizada no motor diesel - trocar mangueira e abraçadeira do intercooler L/D 8118863_01 8130496_02\n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Ver e agir;;;
165524801;Aprovisionamento;Preventiva Condicional;102781;BARRA;3316;John Deere 8270R 4X4;24/07/2025;A_SS_P_MEC_0,30_1 - Inspeção realizada na cabine - trocar pistão da janela traseira, esta quebrado e podendo ocorre a quebra do vidro 8160193;A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165524806;Aprovisionamento;Preventiva Condicional;7011584;BARRA;3340;John Deere 7225 J 4x4;24/07/2025;M_OT_P_MEC_0,30_1 - Inspeção realizada na cabine - trocar manete da velocidade, esta com o botão ruim e trabalhando com o pedal do acelerador de pé podendo causar danos a turbina 8103703_01\n;M_OT_P;M;M_OT;2;OT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165524807;Aprovisionamento;Preventiva Condicional;102775;DIA;3316;John Deere 8270R 4X4;24/07/2025;A_MT_P_MEC_2,00_1 - Inspeção realizada no motor diesel - trocar correia do compressor de ar, esta com ranhuras 8137310_01 \n;A_MT_P;A;A_MT;1;MT;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165524822;Liberado para Programação;Preventiva Condicional;102781;BARRA;3316;John Deere 8270R 4X4;24/07/2025;A_MT_S_MEC_2,00_2 - Inspeção realizada no motor diesel - corrigir vazamento de diesel na mangueira do radiador de diesel e vazamento na mangueira da valvula do pedal do freio T mangueira superior esta com vazamento e lampadas queimadas do farol  AVISADO GESTOR SERA ENCAMINHADO OFICINA \n;A_MT_S;A;A_MT;1;MT;S;SERVIÇO;33;-;Produção;Preventiva;Não listado;Avaliar: Inspeção / Execução;;;
165524823;Aprovisionamento;Preventiva Condicional;102781;BARRA;3316;John Deere 8270R 4X4;24/07/2025;A_TR_P_MEC_0,30_1 - Inspeção realizada na trasmissao - trocar filtro hidraulico da transmissao 8146590_01 apos a troca fucinonar o trator e verificar se há vazamento de lubrificante ao redor da carcaça da caneca do filtro \n;A_TR_P;A;A_TR;1;TR;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165524834;Aprovisionamento;Preventiva Condicional;169010;DIA;3344;M.B Axor 3131 8x4 Vinhaça;24/07/2025;A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - Trocar anel oring da bomba hidraulica das barras , bomba Bosch abaixo do tanque hidraulico os aneis de vedação são dos niples aonde tem maior recorrencia de vazamentos  8194299_04 8194298_04\n;A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
165525244;Aprovisionamento;Preventiva Condicional;100746;BARRA;3327;Valtra BH 210I 4x4;24/07/2025;A_SS_P_MEC_0,30_1 - Inspeção realizada na barra de tração - trocar pino de engate da barra de tração , esta com parafuso 8189983_01  8045143_01  \n;A_SS_P;A;A_SS;1;SS;P;MATERIAL;33;-;Produção;Preventiva;Não listado;Programar;;;
